step_size,                  x,              v_num,            u_exact,               time,
0.001001,            0.197197,            0.671089,            0.664015,             11081.4,

0.001001,            0.198198,            0.671467,            0.664386,             11081.4,

0.001001,            0.199199,             0.67183,            0.664744,             11081.4,

0.001001,              0.2002,             0.67218,            0.665089,             11081.4,

0.001001,            0.201201,            0.672516,            0.665419,             11081.4,

0.001001,            0.202202,            0.672839,            0.665737,             11081.4,

0.001001,            0.203203,            0.673148,            0.666042,             11081.4,

0.001001,            0.204204,            0.673445,            0.666333,             11081.4,

0.001001,            0.205205,            0.673728,            0.666612,             11081.4,

0.001001,            0.206206,            0.673999,            0.666878,             11081.4,

0.001001,            0.207207,            0.674257,            0.667131,             11081.4,

0.001001,            0.208208,            0.674502,            0.667372,             11081.4,

0.001001,            0.209209,            0.674735,              0.6676,             11081.4,

0.001001,             0.21021,            0.674955,            0.667816,             11081.4,

0.001001,            0.211211,            0.675163,             0.66802,             11081.4,

0.001001,            0.212212,            0.675359,            0.668212,             11081.4,

0.001001,            0.213213,            0.675543,            0.668392,             11081.4,

0.001001,            0.214214,            0.675715,            0.668561,             11081.4,

0.001001,            0.215215,            0.675876,            0.668718,             11081.4,

0.001001,            0.216216,            0.676024,            0.668863,             11081.4,

0.001001,            0.217217,            0.676161,            0.668997,             11081.4,

0.001001,            0.218218,            0.676287,            0.669119,             11081.4,

0.001001,            0.219219,            0.676402,             0.66923,             11081.4,

0.001001,             0.22022,            0.676505,            0.669331,             11081.4,

0.001001,            0.221221,            0.676597,             0.66942,             11081.4,

0.001001,            0.222222,            0.676678,            0.669498,             11081.4,

0.001001,            0.223223,            0.676749,            0.669566,             11081.4,

0.001001,            0.224224,            0.676808,            0.669623,             11081.4,

0.001001,            0.225225,            0.676857,            0.669669,             11081.4,

0.001001,            0.226226,            0.676896,            0.669705,             11081.4,

0.001001,            0.227227,            0.676923,            0.669731,             11081.4,

0.001001,            0.228228,            0.676941,            0.669747,             11081.4,

0.001001,            0.229229,            0.676949,            0.669752,             11081.4,

0.001001,             0.23023,            0.676946,            0.669747,             11081.4,

0.001001,            0.231231,            0.676933,            0.669733,             11081.4,

0.001001,            0.232232,            0.676911,            0.669708,             11081.4,

0.001001,            0.233233,            0.676878,            0.669674,             11081.4,

0.001001,            0.234234,            0.676836,             0.66963,             11081.4,

0.001001,            0.235235,            0.676784,            0.669577,             11081.4,

0.001001,            0.236236,            0.676723,            0.669514,             11081.4,

0.001001,            0.237237,            0.676652,            0.669442,             11081.4,

0.001001,            0.238238,            0.676572,            0.669361,             11081.4,

0.001001,            0.239239,            0.676482,             0.66927,             11081.4,

0.001001,             0.24024,            0.676384,            0.669171,             11081.4,

0.001001,            0.241241,            0.676276,            0.669062,             11081.4,

0.001001,            0.242242,             0.67616,            0.668945,             11081.4,

0.001001,            0.243243,            0.676034,            0.668819,             11081.4,

0.001001,            0.244244,              0.6759,            0.668684,             11081.4,

0.001001,            0.245245,            0.675757,             0.66854,             11081.4,

0.001001,            0.246246,            0.675605,            0.668388,             11081.4,

0.001001,            0.247247,            0.675445,            0.668227,             11081.4,

0.001001,            0.248248,            0.675276,            0.668058,             11081.4,

0.001001,            0.249249,            0.675099,            0.667881,             11081.4,

0.001001,             0.25025,            0.674914,            0.667696,             11081.4,

0.001001,            0.251251,            0.674721,            0.667502,             11081.4,

0.001001,            0.252252,            0.674519,            0.667301,             11081.4,

0.001001,            0.253253,             0.67431,            0.667091,             11081.4,

0.001001,            0.254254,            0.674092,            0.666874,             11081.4,

0.001001,            0.255255,            0.673866,            0.666648,             11081.4,

0.001001,            0.256256,            0.673633,            0.666416,             11081.4,

0.001001,            0.257257,            0.673392,            0.666175,             11081.4,

0.001001,            0.258258,            0.673143,            0.665927,             11081.4,

0.001001,            0.259259,            0.672887,            0.665671,             11081.4,

0.001001,             0.26026,            0.672623,            0.665408,             11081.4,

0.001001,            0.261261,            0.672352,            0.665137,             11081.4,

0.001001,            0.262262,            0.672074,             0.66486,             11081.4,

0.001001,            0.263263,            0.671788,            0.664575,             11081.4,

0.001001,            0.264264,            0.671495,            0.664283,             11081.4,

0.001001,            0.265265,            0.671195,            0.663984,             11081.4,

0.001001,            0.266266,            0.670888,            0.663677,             11081.4,

0.001001,            0.267267,            0.670574,            0.663364,             11081.4,

0.001001,            0.268268,            0.670253,            0.663045,             11081.4,

0.001001,            0.269269,            0.669925,            0.662718,             11081.4,

0.001001,             0.27027,             0.66959,            0.662384,             11081.4,

0.001001,            0.271271,            0.669248,            0.662044,             11081.4,

0.001001,            0.272272,              0.6689,            0.661698,             11081.4,

0.001001,            0.273273,            0.668546,            0.661345,             11081.4,

0.001001,            0.274274,            0.668184,            0.660985,             11081.4,

0.001001,            0.275275,            0.667817,            0.660619,             11081.4,

0.001001,            0.276276,            0.667443,            0.660247,             11081.4,

0.001001,            0.277277,            0.667062,            0.659868,             11081.4,

0.001001,            0.278278,            0.666676,            0.659483,             11081.4,

0.001001,            0.279279,            0.666283,            0.659093,             11081.4,

0.001001,             0.28028,            0.665884,            0.658696,             11081.4,

0.001001,            0.281281,            0.665479,            0.658293,             11081.4,

0.001001,            0.282282,            0.665068,            0.657884,             11081.4,

0.001001,            0.283283,            0.664651,            0.657469,             11081.4,

0.001001,            0.284284,            0.664228,            0.657048,             11081.4,

0.001001,            0.285285,            0.663799,            0.656622,             11081.4,

0.001001,            0.286286,            0.663365,            0.656189,             11081.4,

0.001001,            0.287287,            0.662925,            0.655752,             11081.4,

0.001001,            0.288288,            0.662479,            0.655308,             11081.4,

0.001001,            0.289289,            0.662027,            0.654859,             11081.4,

0.001001,             0.29029,             0.66157,            0.654405,             11081.4,

0.001001,            0.291291,            0.661108,            0.653945,             11081.4,

0.001001,            0.292292,             0.66064,            0.653479,             11081.4,

0.001001,            0.293293,            0.660166,            0.653009,             11081.4,

0.001001,            0.294294,            0.659688,            0.652533,             11081.4,

